,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
37,0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,803,4663,0
38,1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,1402,4664,1
39,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,1239,2625,1
40,1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,367,1556,0
41,0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,699,5330,0
42,0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,44,1426,0
43,0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,897,5320,0
44,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,831,2440,0
45,0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,985,4843,0
46,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,361,499,0
47,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,913,646,1
48,1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,895,5010,0
49,0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,611,5025,0
50,0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,1098,4803,0
51,0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,1263,3118,1
52,0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,705,3476,0
53,0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,913,1851,1
54,0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,804,5122,0
55,1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,1197,3475,1
56,0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,1274,5959,0
57,1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,1440,6226,0
58,0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,91,2300,0
59,0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,1423,6416,0
60,0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,1291,5242,0
61,1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,1091,5584,0
62,1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,265,4323,0
63,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,447,2406,0
64,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,1176,2242,1
65,0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,813,983,0
66,1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,878,4717,0
67,0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,884,4054,0
68,0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,32,2361,0
69,1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,897,2286,0
70,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,357,178,0
71,0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,37,2606,0
72,1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,1498,6231,0
73,1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,77,3114,0
74,0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,618,772,0
75,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,1478,5895,0
76,0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,472,4180,0
77,0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,452,1567,0
78,1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,802,3794,0
79,0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,110,2788,0
80,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,887,383,1
81,0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,387,1733,0
82,0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,810,1597,1
83,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,1351,5069,0
84,0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,32,2430,0
85,1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,1267,2338,0
86,0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,583,3868,0
87,0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,42,2553,0
88,0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,28,2350,0
89,1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,173,2476,0
90,1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,941,4103,0
91,1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,801,344,0
92,1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,975,5705,0
93,0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,1487,6234,0
94,1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,1299,6326,0
95,0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,879,2352,1
96,1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,662,5266,0
97,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,50,557,1
98,1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,49,2626,0
99,0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,1252,4066,1
100,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,33,26,0
101,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,18,11,0
102,1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,1188,4691,0
103,0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,316,4371,0
104,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,1469,6366,1
105,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,78,508,0
106,0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,1358,6288,0
107,0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,147,2353,0
108,1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,1175,4850,0
109,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,17,3009,0
110,1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,1222,5501,1
111,0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,508,4380,0
112,0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,1126,4867,0
113,0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,837,4272,1
114,0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,451,4591,0
115,1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,1090,998,0
116,0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,161,2658,0
117,0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,1286,2564,1
118,0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,42,2205,0
119,1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,999,3812,0
120,0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,1277,5612,0
121,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,43,552,0
122,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,795,938,1
123,0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,390,1275,0
124,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,46,262,0
125,1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,1072,4373,0
126,0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,861,3804,1
127,1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,64,3438,0
128,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,24,17,0
129,1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,488,4886,0
130,0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,1014,2785,0
131,0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,517,3210,1
132,1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,387,4509,0
133,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,198,95,1
134,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,292,408,1
135,0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,106,2744,0
136,0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,807,3502,0
137,0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,33,2888,0
138,1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,21,2719,0
139,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,724,305,1
140,0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,1054,6008,0
141,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,738,1729,1
142,0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,1302,5825,0
143,1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,981,5518,0
144,1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,71,3479,0
145,0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,1262,6003,0
146,1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,21,255,0
147,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,318,157,1
148,1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,618,3656,0
149,1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,705,2577,0
150,0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,686,1730,0
151,1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,1188,1888,1
152,0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,1434,6435,0
153,1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,1017,5485,0
154,0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,23,555,0
155,0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,918,2697,0
156,0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,978,3556,0
157,1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,32,1433,0
158,1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,613,2501,0
159,1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,106,1007,0
160,0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,479,2077,0
161,0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,946,3307,1
162,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,709,616,0
163,1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,785,4870,0
164,0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,41,951,0
165,1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,27,3010,0
166,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,733,1072,1
167,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,1074,5937,0
168,1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,311,4152,1
169,0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,37,1195,0
170,1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,980,4655,0
171,0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,1363,980,1
172,1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,939,2735,0
173,0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,1185,5402,1
174,0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,40,1885,0
175,0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,86,2105,0
176,0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,796,2686,1
177,0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,836,1611,1
178,0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,1382,3277,0
179,1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,40,2839,0
180,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,144,76,1
181,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,311,152,0
182,1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,985,1901,1
183,1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,802,4027,0
184,0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,885,2636,1
185,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,88,55,1
186,1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,412,2498,0
187,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,152,411,0
188,0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,22,987,0
189,0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,491,3973,0
190,1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,752,4459,0
191,1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,1113,1665,1
192,0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,24,3024,0
193,0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,1463,6476,0
194,1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,15,2752,0
195,0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,1218,3633,0
196,1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,74,1774,0
197,1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,1493,6040,0
198,1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,1506,6459,0
199,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,44,37,0
200,0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,1,1,1317,4174,0
201,0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,901,2638,0
202,1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,1386,6316,0
203,1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,866,2521,0
204,1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,692,4319,0
205,0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,899,4177,0
206,1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,468,4995,0
207,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,898,391,1
208,0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,1407,3661,1
209,1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,1326,6085,0
210,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,325,422,1
211,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,97,62,0
212,1,0,0,1,61,1,0,2,1,1,1,1,1,1,2,0,3,24,2655,0
213,0,0,1,1,29,1,0,2,1,1,1,1,1,1,1,0,2,29,1684,0
214,1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,1031,3692,0
215,0,0,1,0,57,0,1,0,2,2,2,0,2,2,0,1,0,520,4597,0
216,1,0,1,1,72,0,1,0,2,2,2,2,0,0,2,0,1,310,4438,0
217,1,0,1,0,66,0,1,0,2,2,2,2,2,0,2,1,0,491,4780,0
218,1,0,1,1,65,1,2,0,0,2,2,2,2,2,2,1,0,979,5536,0
219,0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,900,1839,0
220,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,718,1057,1
221,0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,87,3566,0
222,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,33,26,0
223,1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,377,779,1
224,0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,1,0,16,894,0
225,1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,1,3,388,2902,0
226,0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,923,4083,0
227,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,463,224,1
228,1,0,0,0,30,1,2,1,0,0,0,2,0,2,0,1,1,1091,4193,0
229,0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,1001,4947,0
230,1,0,0,0,54,1,2,1,2,2,0,2,2,2,2,1,1,1431,5731,0
231,1,0,0,0,50,1,0,1,2,2,0,2,0,2,0,1,1,1158,5263,0
232,1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,3,987,423,1
233,0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,1,34,3287,0
234,0,0,0,0,29,1,2,2,1,1,1,1,1,1,0,0,2,95,1976,0
235,1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,447,559,1
236,0,0,0,0,10,0,1,0,0,0,0,2,0,0,2,1,3,137,1134,0
237,1,0,1,0,18,1,2,1,0,0,0,0,0,0,0,1,2,771,2928,0
238,0,1,0,0,11,1,0,1,0,2,0,0,2,2,0,1,2,1188,2649,1
239,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,3,24,1098,0
240,0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,1027,5975,0
241,1,0,0,0,72,1,2,1,0,2,2,2,2,2,2,0,0,1454,6423,0
242,0,0,1,1,41,1,0,0,2,0,0,2,2,2,1,1,1,801,4469,0
243,0,1,1,0,65,1,0,1,2,2,2,0,0,2,0,0,2,1176,5887,0
244,0,1,0,0,13,1,0,0,0,2,2,0,0,0,0,1,2,455,2021,0
245,1,1,0,0,4,1,0,1,2,0,0,0,0,0,0,0,2,814,1075,0
246,1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,628,4073,0
247,1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,795,2582,1
248,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,347,173,1
249,1,0,0,0,42,1,2,1,2,2,2,0,0,2,1,1,2,1261,5048,0
250,0,0,1,0,51,1,0,1,2,2,2,0,2,0,1,1,2,1158,5203,0
251,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,723,660,1
252,1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,246,116,1
253,1,0,0,1,32,1,2,0,0,2,2,2,2,2,1,0,1,969,4140,0
254,1,0,0,0,10,1,0,2,1,1,1,1,1,1,0,1,3,26,821,0
255,0,0,1,1,67,0,1,0,0,2,2,2,2,2,2,1,2,534,4946,0
256,0,0,1,1,61,1,2,1,2,2,2,2,2,2,2,0,1,1547,6206,0
257,1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,1534,5745,0
258,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,297,401,1
259,0,1,1,0,29,0,1,0,2,0,2,0,0,2,0,1,2,305,2804,0
260,1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,260,606,1
261,1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,1413,3011,1
262,1,1,1,0,57,1,2,1,0,2,0,0,0,2,0,1,2,1090,5369,0
263,0,0,0,0,31,0,1,0,2,2,0,2,0,2,2,1,0,373,3231,0
264,0,0,1,0,45,1,2,1,2,2,2,2,2,2,1,0,3,1520,5419,0
265,0,0,1,1,61,1,2,0,2,2,2,2,2,2,2,0,3,1055,5615,0
266,1,0,0,0,50,1,2,2,1,1,1,1,1,1,2,0,0,90,2756,0
267,0,1,0,0,19,1,0,1,2,2,0,2,2,2,0,1,3,1375,3715,0
268,1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,16,2621,1
269,0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,1,77,3449,0
270,0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,1177,3224,1
271,1,0,1,0,57,1,0,0,2,2,0,2,0,0,2,1,2,538,4604,0
272,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,88,55,1
273,1,1,1,0,20,1,2,1,0,2,0,2,2,2,0,0,2,1416,3825,0
274,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,727,308,1
275,1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,1003,1378,1
276,0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,1376,5667,1
277,1,1,1,0,21,1,0,0,2,2,0,0,0,2,0,1,0,627,2977,0
278,1,0,0,0,14,0,1,0,0,0,2,2,2,2,0,1,2,459,2090,0
279,0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,387,986,0
280,0,0,0,0,6,1,0,0,2,2,0,0,0,0,0,0,3,462,1201,0
281,0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,0,2,400,1602,0
282,0,0,0,1,1,1,2,2,1,1,1,1,1,1,0,0,3,100,65,0
283,0,0,0,0,68,1,2,0,2,0,0,0,0,0,0,0,3,448,4732,0
284,1,0,1,1,18,1,0,1,0,0,2,0,2,2,0,0,3,1191,3504,1
285,0,0,0,0,22,1,2,1,0,0,0,0,0,0,1,1,1,827,3509,0
286,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,1,2,292,2351,0
287,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,715,296,1
288,1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,797,1808,1
289,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,302,1463,1
290,1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,829,3425,1
291,1,0,0,0,35,1,0,0,2,2,2,0,0,0,1,0,3,567,3729,0
292,1,0,1,1,23,1,0,1,0,2,2,2,0,0,1,0,3,1031,3667,0
293,0,1,0,0,6,1,0,1,0,0,0,0,2,2,0,1,2,1080,1738,0
294,0,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,3,23,898,0
295,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,34,27,0
296,0,0,1,1,71,1,0,1,0,0,2,0,0,0,2,0,2,828,5574,0
297,1,1,1,0,35,1,2,1,0,0,2,0,2,2,0,1,2,1297,4598,0
298,1,0,1,1,40,1,2,0,0,0,2,0,2,2,0,1,2,798,4358,0
299,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,1,3,779,332,1
300,1,0,0,0,23,1,0,0,0,0,0,0,2,2,1,1,0,626,3220,0
301,0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,1197,1369,1
302,1,0,0,0,4,1,0,1,0,0,2,2,0,2,0,1,2,1101,1286,0
303,0,0,1,1,68,0,1,0,0,2,2,2,2,2,2,0,1,549,4950,0
304,1,0,0,1,38,1,2,1,0,2,0,0,0,0,0,1,3,937,4439,0
305,1,0,1,1,52,1,2,2,1,1,1,1,1,1,2,0,3,88,2805,0
306,1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,805,3927,1
307,1,0,1,1,29,1,0,0,0,0,2,2,2,2,2,0,3,818,3753,0
308,1,1,1,1,38,1,2,1,0,2,0,0,2,2,0,0,2,1304,4755,0
309,1,0,0,1,48,1,2,0,2,0,2,0,2,2,1,1,1,875,4729,0
310,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,0,14,8,0
311,0,0,0,0,22,1,0,1,2,0,0,2,0,2,0,1,2,1074,3618,0
312,0,0,0,0,43,1,2,1,2,2,2,2,2,2,2,0,1,1546,5343,0
313,0,1,1,0,5,1,0,1,0,0,0,0,0,0,0,1,2,702,1253,0
314,1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,2,912,1415,1
315,1,0,1,1,51,1,2,1,2,2,0,2,2,2,1,0,1,1470,5692,0
316,1,0,0,0,71,1,0,2,1,1,1,1,1,1,2,1,1,27,2996,0
317,0,0,1,1,38,1,0,0,2,2,0,2,2,2,1,0,1,906,4393,1
